oldUri,newUri
http://hdl.handle.net/11459/CCR_C-2482_08eded24-4086-7e3f-88e5-e0807fb01e17,http://www.wikidata.org/entity/Q2092812
http://hdl.handle.net/11459/CCR_C-2484_669684e7-cb9e-ea96-59cb-a25fe89b9b9d,http://www.wikidata.org/entity/Q3109261
http://hdl.handle.net/11459/CCR_C-2486_794a7f19-9d67-50ca-d6e2-6fda9057a7d3,http://www.wikidata.org/entity/Q115862390
http://hdl.handle.net/11459/CCR_C-2490_44bc38a3-1799-4149-c791-40ac0176f0ff,http://www.wikidata.org/entity/Q1243600
http://hdl.handle.net/11459/CCR_C-2494_2451c60f-fd9f-6c36-02f6-ac5b8929f487,http://www.wikidata.org/entity/Q18379613
http://hdl.handle.net/11459/CCR_C-2499_52993a80-0bcf-d671-22dc-903effdb98b7,http://www.wikidata.org/entity/Q18387998
http://hdl.handle.net/11459/CCR_C-251_e9b5dc02-9bae-4415-d083-006c5da8e0ad,http://www.wikidata.org/entity/Q104083
http://hdl.handle.net/11459/CCR_C-2510_2402e609-046a-dfbf-c2d7-5a2f1ae6dc86,http://www.wikidata.org/entity/Q131673289
http://hdl.handle.net/11459/CCR_C-252_e0a8552e-0ec6-9068-68ce-f24ff3d3eff0,http://www.wikidata.org/entity/Q110786
http://hdl.handle.net/11459/CCR_C-2521_7b01b455-0de8-d753-ad4e-dee49953ae98,http://www.wikidata.org/entity/Q1273217
http://hdl.handle.net/11459/CCR_C-2522_3bdc6af1-bf1b-3f5d-2938-62d99a1980ab,http://www.wikidata.org/entity/P8324
http://hdl.handle.net/11459/CCR_C-2523_283c7b54-06ed-3d6c-4bb0-c8a79a8236fd,http://www.wikidata.org/entity/Q104224919
http://hdl.handle.net/11459/CCR_C-2526_979ac535-eaa5-5e59-3cad-51c450234698,http://www.wikidata.org/entity/P5017
http://hdl.handle.net/11459/CCR_C-253_6eb62624-e7a3-7c78-7bf7-76d2d7f8c199,http://www.wikidata.org/entity/Q146786
http://hdl.handle.net/11459/CCR_C-2531_e0427265-2fc4-d23e-0a7c-a21981ec3734,http://www.wikidata.org/entity/Q5107
http://hdl.handle.net/11459/CCR_C-2532_d004b0a6-fd1d-3ca3-abf1-1e6aeb3e37b2,http://www.wikidata.org/entity/Q6256
http://hdl.handle.net/11459/CCR_C-2538_8b697452-7ef3-9fce-ccf9-a7f344f11317,http://www.wikidata.org/entity/P577
http://hdl.handle.net/11459/CCR_C-2542_d9c3586f-ca6c-2137-0b0e-8874b9a195be,http://www.wikidata.org/entity/P170
http://hdl.handle.net/11459/CCR_C-2547_7883d382-b3ce-8ab4-7052-0138525a8ba1,http://www.wikidata.org/entity/Q12343820
http://hdl.handle.net/11459/CCR_C-2549_42c384cb-7697-889f-45dd-c1155857f117,http://www.wikidata.org/entity/Q130324710
http://hdl.handle.net/11459/CCR_C-2562_872eb94a-47fb-b551-2f64-13ded063259e,http://www.wikidata.org/entity/Q57780370
http://hdl.handle.net/11459/CCR_C-2564_880b1108-6b03-647f-eed9-cdfbd464c661,http://www.wikidata.org/entity/Q184759
http://hdl.handle.net/11459/CCR_C-2567_8e616d60-5708-c3d4-320b-661399ccda43,http://www.wikidata.org/entity/P2047
http://hdl.handle.net/11459/CCR_C-2570_6f596a6d-4d5c-f336-d971-e61a310e2c8c,http://www.wikidata.org/entity/P1163
http://hdl.handle.net/11459/CCR_C-2571_2be2e583-e5af-34c2-3673-93359ec1f7df,http://www.wikidata.org/entity/Q1667978
http://hdl.handle.net/11459/CCR_C-2573_ae7c2548-8a86-ab6e-7099-e28b7697d1a2,http://www.wikidata.org/entity/Q420330
http://hdl.handle.net/11459/CCR_C-2574_85e2b550-e877-599a-fb82-76812896f9da,http://www.wikidata.org/entity/Q1757694
http://hdl.handle.net/11459/CCR_C-2575_3d7c3d42-f4d3-6071-61a1-45deeb960343,http://www.wikidata.org/entity/Q210521
http://hdl.handle.net/11459/CCR_C-2577_73344cc2-f341-8842-bcf7-48e5267a3aca,http://www.wikidata.org/entity/P11413
http://hdl.handle.net/11459/CCR_C-2580_6dfe4e09-1c61-9b24-98ad-16bb867860fe,http://www.wikidata.org/entity/Q322481
http://hdl.handle.net/11459/CCR_C-2583_5f5cb491-1037-8d46-d685-ccebfc0233f7,http://www.wikidata.org/entity/P1880
http://hdl.handle.net/11459/CCR_C-2591_f769d93b-c007-d2c9-aff2-99e9177e5764,http://www.wikidata.org/entity/Q24238356
http://hdl.handle.net/11459/CCR_C-2593_b4878707-c766-efaf-eb13-1092ddc989cc,http://www.wikidata.org/entity/Q1058876
http://hdl.handle.net/11459/CCR_C-2595_33036215-f7a0-6d2f-0f89-cc879eda8c54,http://www.wikidata.org/entity/Q15078788
http://hdl.handle.net/11459/CCR_C-2597_1ab0fe71-0be4-8841-fb83-06df0b10f5fb,http://www.wikidata.org/entity/Q1499933
http://hdl.handle.net/11459/CCR_C-2599_93805699-d3a2-ae19-5399-d0bba0e8fc24,http://www.wikidata.org/entity/Q55107540
http://hdl.handle.net/11459/CCR_C-2601_2f01d22c-14e2-7e92-20df-3f6eaf6b33cf,http://www.wikidata.org/entity/Q8242
http://hdl.handle.net/11459/CCR_C-2602_03be0b80-7ee1-5f23-7818-364dba82fd81,http://www.wikidata.org/entity/Q482
http://hdl.handle.net/11459/CCR_C-2605_b0b56532-5f72-0f0d-ac89-1249d099940b,http://www.wikidata.org/entity/Q12617225
http://hdl.handle.net/11459/CCR_C-2606_660770f2-b23e-4ed6-f9c3-6b2d8e827034,http://www.wikidata.org/entity/Q5707594
http://hdl.handle.net/11459/CCR_C-2608_6c9eac1a-54a4-274a-b8e0-2c33709a80b7,http://www.wikidata.org/entity/Q190539
http://hdl.handle.net/11459/CCR_C-2611_793f560e-dd43-88d0-1161-ae1c871bbb22,http://www.wikidata.org/entity/Q639197
http://hdl.handle.net/11459/CCR_C-2622_d65f6ee8-054a-6263-8e58-1b97f036c6b5,http://www.wikidata.org/entity/Q70440718
http://hdl.handle.net/11459/CCR_C-2623_3a394a41-f292-b4cd-e686-6c23c44cf69b,http://www.wikidata.org/entity/Q29407
http://hdl.handle.net/11459/CCR_C-2624_9a7ef346-e101-d2df-35c1-c3513b60bb68,http://www.wikidata.org/entity/Q321249
http://hdl.handle.net/11459/CCR_C-2625_9a465f81-b2b1-15e5-532f-8d4ea59c9cfd,http://www.wikidata.org/entity/Q147638
http://hdl.handle.net/11459/CCR_C-2627_5bd2c71a-8e43-a61d-0897-165b6068cb26,http://www.wikidata.org/entity/Q1129466
http://hdl.handle.net/11459/CCR_C-2628_fa1d7589-8fe3-4c02-f5b3-44d0a4486124,http://www.wikidata.org/entity/Q938318
